タイプ,楽曲名,☆,時間,Note,Long,Flick,Slide
全タイプ,桜の頃,13,2:14,249,0.13,0.14,0.41
全タイプ,∀NSWER,17,2:02,358,0.13,0.14,0.42
全タイプ,Sweet Witches’ Night ～6人目はだぁれ～,15,2:03,323,0.15,0.15,0.29
パッション,情熱ファンファンファーレ,16,2:00,335,0.12,0.18,0.23
全タイプ,命燃やして恋せよ乙女,17,2:04,355,0.12,0.34,0.42
クール,Lunatic Show,17,1:59,455,0.05,0.15,0.07
キュート,あんきら⁉狂騒曲,18,2:05,555,0.07,0.26,0.28
パッション,Flip Flop,16,2:00,349,0.09,0.17,0.29
クール,Jet to the Future,16,2:04,356,0.14,0.08,0.63
全タイプ,あいくるしい,15,2:10,268,0.06,0.03,0.67
全タイプ,STORY,15,2:06,291,0.01,0.20,0.33
全タイプ,Treasure☆,17,2:05,400,0.19,0.17,0.61
全タイプ,サマカニ!!,17,2:04,431,0.05,0.21,0.29
キュート,ラブレター,15,2:08,327,0.30,0.13,0.39
全タイプ,BEYOND THE STARLIGHT,15,2:02,326,0.06,0.14,0.33
キュート,Claw My Heart,16,2:00,331,0.09,0.16,0.40
全タイプ,Love∞Destiny,17,2:06,391,0.16,0.16,0.49
クール,あらかねの器,16,2:16,330,0.05,0.21,0.49
全タイプ,純情Midnight伝説,17,2:09,436,0.04,0.12,0.33
パッション,OTAHEN アンセム,17,2:10,379,0.21,0.17,0.22
全タイプ,ハイファイ☆デイズ,15,2:07,341,0.19,0.16,0.20
全タイプ,生存本能ヴァルキュリア,16,2:09,392,0.11,0.05,0.37
全タイプ,Tulip,17,2:10,400,0.09,0.24,0.17
クール,Trancing Pulse,18,1:59,398,0.08,0.20,0.40
クール,もりのくにから,15,2:11,290,0.08,0.09,0.69
クール,Memories,14,2:02,276,0.05,0.08,0.26
パッション,しゅがーはぁと☆レボリューション,16,2:08,376,0.29,0.14,0.24
キュート,ØωØver!!,17,2:02,401,0.07,0.23,0.46
キュート,LOVE☆ハズカム,15,1:58,310,0.15,0.17,0.30
パッション,LET’S GO HAPPY!!,17,2:11,495,0.23,0.16,0.24
パッション,炎の華,17,2:14,381,0.10,0.11,0.20
クール,-LEGNE- 仇なす剣 光の旋律,18,2:07,435,0.02,0.33,0.30
全タイプ,Snow Wings,17,1:54,395,0.03,0.12,0.39
キュート,Happy×2 Days,16,2:09,330,0.17,0.10,0.38
パッション,Orange Sapphire,17,2:06,372,0.15,0.15,0.17
全タイプ,夢色ハーモニー,16,2:08,356,0.10,0.12,0.72
クール,Nation Blue,17,2:12,396,0.02,0.21,0.28
全タイプ,Shine!!,16,2:05,346,0.21,0.16,0.41
キュート,アタシポンコツアンドロイド,17,2:07,390,0.16,0.15,0.39
全タイプ,できたて Evo! Revo! Generation!,17,2:07,389,0.12,0.09,0.26
全タイプ,GOIN’!!!,16,2:06,341,0.10,0.18,0.45
パッション,きみにいっぱい☆,16,2:05,357,0.09,0.21,0.32
クール,咲いてJewel,17,2:14,407,0.05,0.26,0.37
全タイプ,夕映えプレゼント,16,2:04,371,0.14,0.12,0.36
キュート,明日また会えるよね,16,2:05,371,0.09,0.23,0.30
全タイプ,Star!!,17,2:06,400,0.13,0.23,0.41
全タイプ,メッセージ,15,2:02,308,0.03,0.22,0.45
キュート,谷の底で咲く花は,11,2:15,170,0.12,0.05,0.58
全タイプ,We’re the friends!,15,2:04,304,0.11,0.14,0.30
パッション,おんなの道は星の道,17,2:00,320,0.12,0.23,0.62
全タイプ,輝く世界の魔法,16,2:05,394,0.07,0.14,0.45
パッション,絶対特権主張しますっ！,16,2:03,344,0.26,0.25,0.22
全タイプ,とどけ！アイドル,15,2:11,332,0.30,0.16,0.18
クール,オルゴールの小箱,14,2:07,236,0.17,0.04,0.55
パッション,祈りの花,15,2:07,257,0.01,0.16,0.55
キュート,楽園,15,2:12,269,0.12,0.09,0.41
クール,Last Kiss,15,2:09,298,0.17,0.19,0.36
キュート,パステルピンクな恋,16,2:00,342,0.11,0.14,0.35
全タイプ,EVERMORE,17,2:03,367,0.01,0.26,0.35
全タイプ,Yes! Party Time!!,16,2:05,363,0.12,0.24,0.36
パッション,lilac time,17,2:08,403,0.09,0.13,0.20
キュート,追い風Running,17,2:07,370,0.09,0.31,0.29
クール,One Life,15,2:10,317,0.03,0.47,0.17
キュート,To my darling...,14,2:06,300,0.11,0.10,0.23
パッション,みんなのきもち,14,2:05,278,0.09,0.23,0.26
クール,こいかぜ,16,2:10,309,0.03,0.08,0.56
キュート,恋のHamburg♪,16,2:04,390,0.07,0.19,0.45
クール,共鳴世界の存在論,18,2:04,417,0.04,0.41,0.19
パッション,Radio Happy,18,2:09,410,0.07,0.32,0.40
キュート,ラヴィアンローズ,14,2:08,320,0.20,0.11,0.06
クール,in fact,15,2:04,263,0.02,0.07,0.79
パッション,ミラクルテレパシー,14,2:11,257,0.09,0.23,0.17
キュート,恋色エナジー,13,2:10,246,0.27,0.07,0.28
クール,青の一番星,17,1:56,356,0.02,0.19,0.35
パッション,気持ちいいよね 一等賞！,13,2:02,240,0.24,0.24,0.02
キュート,秘密のトワレ,18,2:05,491,0.02,0.09,0.55
クール,小さな恋の密室事件,17,2:07,376,0.14,0.17,0.32
パッション,Can’t Stop!!,14,2:12,295,0.22,0.20,0.25
キュート,き・ま・ぐ・れ☆Café au lait!,15,2:04,283,0.10,0.13,0.18
クール,薄荷 -ハッカ-,12,2:11,211,0.09,0.05,0.29
パッション,毒茸伝説,17,2:06,378,0.11,0.22,0.30
キュート,メルヘンデビュー！,17,2:05,477,0.13,0.15,0.53
クール,2nd SIDE,14,2:00,256,0.10,0.02,0.32
パッション,熱血乙女A,15,2:06,337,0.05,0.17,0.05
キュート,花簪 HANAKANZASHI,15,2:07,259,0.09,0.12,0.34
クール,Hotel Moonside,18,2:08,512,0.18,0.19,0.26
パッション,お散歩カメラ,16,2:05,331,0.11,0.15,0.18
キュート,S（mile）ING!,12,2:08,226,0.12,0.10,0.31
クール,Never say never,16,2:11,403,0.17,0.10,0.24
パッション,ミツボシ☆☆★,15,2:06,376,0.10,0.08,0.09
キュート,おねだり Shall We ～？,16,2:05,310,0.07,0.16,0.21
クール,Twilight Sky,15,2:02,321,0.11,0.15,0.04
パッション,DOKIDOKIリズム,12,2:03,234,0.05,0.15,0.28
キュート,風色メロディ,10,2:09,153,0.22,0.03,0.24
パッション,ましゅまろ☆キッス,16,2:05,326,0.03,0.13,0.27
キュート,あんずのうた,18,2:06,438,0.18,0.37,0.18
クール,華蕾夢ミル狂詩曲 ～魂ノ導～,17,2:06,385,0.13,0.18,0.14
キュート,ショコラ・ティアラ,14,2:06,268,0.21,0.07,0.10
クール,ヴィーナスシンドローム,16,2:09,331,0.05,0.10,0.22
パッション,Romantic Now,11,2:02,168,0.03,0.15,0.13
クール,You’re stars shine on me,10,2:07,152,0.16,0.01,0.13
パッション,TOKIMEKIエスカレート,18,2:08,641,0.15,0.05,0.47
キュート,Naked Romance,15,2:10,342,0.03,0.10,0.17
クール,Angel Breeze,13,2:11,247,0.13,0.17,0.13
パッション,アップルパイ・プリンセス,15,2:08,294,0.06,0.29,0.17
キュート,エヴリデイドリーム,16,2:04,310,0.15,0.17,0.27
クール,Bright Blue,11,2:06,253,0.21,0.06,0.25
パッション,Rockin’ Emotion,16,2:09,377,0.17,0.12,0.06
