タイプ,楽曲名,☆,時間,Note,Long
全タイプ,桜の頃,5,2:14,103,0.39
全タイプ,∀NSWER,7,2:02,148,0.45
全タイプ,Sweet Witches’ Night ～6人目はだぁれ～,6,2:03,149,0.48
パッション,情熱ファンファンファーレ,5,2:00,112,0.32
全タイプ,命燃やして恋せよ乙女,7,2:04,162,0.48
クール,Lunatic Show,8,1:59,142,0.30
キュート,あんきら⁉狂騒曲,9,2:05,293,0.42
パッション,Flip Flop,6,2:00,149,0.30
クール,Jet to the Future,8,2:04,193,0.31
全タイプ,あいくるしい,5,2:10,105,0.44
全タイプ,STORY,8,2:06,165,0.41
全タイプ,Treasure☆,7,2:05,148,0.34
全タイプ,サマカニ!!,8,2:04,184,0.30
キュート,ラブレター,7,2:08,156,0.40
全タイプ,BEYOND THE STARLIGHT,7,2:02,147,0.46
キュート,Claw My Heart,7,2:00,157,0.41
全タイプ,Love∞Destiny,5,2:06,100,0.40
クール,あらかねの器,6,2:16,133,0.50
全タイプ,純情Midnight伝説,7,2:09,181,0.42
パッション,OTAHEN アンセム,9,2:10,228,0.45
全タイプ,ハイファイ☆デイズ,7,2:07,167,0.36
全タイプ,生存本能ヴァルキュリア,6,2:09,148,0.43
全タイプ,Tulip,6,2:10,138,0.30
クール,Trancing Pulse,9,1:59,214,0.28
クール,もりのくにから,6,2:11,126,0.33
クール,Memories,6,2:02,121,0.28
パッション,しゅがーはぁと☆レボリューション,8,2:08,183,0.34
キュート,ØωØver!!,6,2:02,138,0.12
キュート,LOVE☆ハズカム,6,1:58,129,0.34
パッション,LET’S GO HAPPY!!,7,2:11,158,0.30
パッション,炎の華,8,2:14,189,0.20
クール,-LEGNE- 仇なす剣 光の旋律,9,2:07,200,0.25
全タイプ,Snow Wings,8,1:54,159,0.14
キュート,Happy×2 Days,7,2:09,147,0.50
パッション,Orange Sapphire,7,2:06,137,0.35
全タイプ,夢色ハーモニー,6,2:08,140,0.33
クール,Nation Blue,8,2:12,200,0.70
全タイプ,Shine!!,6,2:05,124,0.44
キュート,アタシポンコツアンドロイド,6,2:07,127,0.24
全タイプ,できたて Evo! Revo! Generation!,6,2:07,146,0.45
全タイプ,GOIN’!!!,6,2:06,132,0.44
パッション,きみにいっぱい☆,5,2:05,105,0.40
クール,咲いてJewel,6,2:14,141,0.26
全タイプ,夕映えプレゼント,4,2:04,88,0.30
キュート,明日また会えるよね,5,2:05,104,0.42
全タイプ,Star!!,8,2:06,174,0.29
全タイプ,メッセージ,6,2:02,92,0.35
キュート,谷の底で咲く花は,4,2:15,88,0.50
全タイプ,We’re the friends!,7,2:04,148,0.31
パッション,おんなの道は星の道,4,2:00,86,0.56
全タイプ,輝く世界の魔法,7,2:05,168,0.26
パッション,絶対特権主張しますっ！,8,2:03,195,0.30
全タイプ,とどけ！アイドル,6,2:11,123,0.60
クール,オルゴールの小箱,5,2:07,90,0.58
パッション,祈りの花,6,2:07,116,0.47
キュート,楽園,7,2:12,161,0.58
クール,Last Kiss,6,2:09,122,0.31
キュート,パステルピンクな恋,7,2:00,164,0.20
全タイプ,EVERMORE,9,2:03,192,0.17
全タイプ,Yes! Party Time!!,7,2:05,167,0.19
パッション,lilac time,8,2:08,186,0.22
キュート,追い風Running,6,2:07,110,0.42
クール,One Life,5,2:10,100,0.30
キュート,To my darling...,7,2:06,150,0.29
パッション,みんなのきもち,7,2:05,147,0.31
クール,こいかぜ,5,2:10,98,0.65
キュート,恋のHamburg♪,4,2:04,80,0.38
クール,共鳴世界の存在論,8,2:04,162,0.16
パッション,Radio Happy,5,2:09,111,0.29
キュート,ラヴィアンローズ,5,2:08,105,0.25
クール,in fact,6,2:04,114,0.51
パッション,ミラクルテレパシー,5,2:11,108,0.30
キュート,恋色エナジー,4,2:10,86,0.30
クール,青の一番星,8,1:56,182,0.30
パッション,気持ちいいよね 一等賞！,8,2:02,190,0.07
キュート,秘密のトワレ,5,2:05,101,0.28
クール,小さな恋の密室事件,7,2:07,143,0.36
パッション,Can’t Stop!!,6,2:12,119,0.07
キュート,き・ま・ぐ・れ☆Café au lait!,8,2:04,186,0.19
クール,薄荷 -ハッカ-,3,2:11,56,0.32
パッション,毒茸伝説,6,2:06,111,0.18
キュート,メルヘンデビュー！,7,2:05,177,0.53
クール,2nd SIDE,6,2:00,99,0.46
パッション,熱血乙女A,7,2:06,122,0.10
キュート,花簪 HANAKANZASHI,5,2:07,82,0.44
クール,Hotel Moonside,7,2:08,180,0.30
パッション,お散歩カメラ,5,2:05,91,0.20
キュート,S（mile）ING!,5,2:08,115,0.17
クール,Never say never,6,2:11,146,0.56
パッション,ミツボシ☆☆★,5,2:06,98,0.20
キュート,おねだり Shall We ～？,6,2:05,106,0.34
クール,Twilight Sky,4,2:02,89,0.11
パッション,DOKIDOKIリズム,5,2:03,98,0.20
キュート,風色メロディ,2,2:09,54,0.41
パッション,ましゅまろ☆キッス,6,2:05,91,0.48
キュート,あんずのうた,9,2:06,241,0.24
クール,華蕾夢ミル狂詩曲 ～魂ノ導～,9,2:06,198,0.19
キュート,ショコラ・ティアラ,3,2:06,72,0.14
クール,ヴィーナスシンドローム,6,2:09,126,0.21
パッション,Romantic Now,4,2:02,86,0.21
クール,You’re stars shine on me,2,2:07,47,0.09
パッション,TOKIMEKIエスカレート,9,2:08,268,0.27
キュート,Naked Romance,7,2:10,145,0.68
クール,Angel Breeze,5,2:11,84,0.33
パッション,アップルパイ・プリンセス,3,2:08,62,0.32
キュート,エヴリデイドリーム,8,2:04,185,0.19
クール,Bright Blue,1,2:06,39,0.31
パッション,Rockin’ Emotion,5,2:09,101,0.18
